YEAR,PSTATABB,FIPSST,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,NRETotal,RETotal
2009,MT,30,"15,611,279.10","491,880.50","77,761.80",0,"9,505,940.00","94,642.20","820,923.70",0,0,16180921.4,10421505.9
2009,NC,37,"65,082,782.50","297,065.20","4,354,358.80","40,847,711.00","5,214,333.50","1,888,194.50",0,"4,563.30",0,69734206.5,47954802.3
2009,ND,38,"29,606,965.60","88,542.20","16,605.90",0,"1,475,251.00","11,572.00","2,997,530.00",0,0,29712113.7,4484353
2009,NE,31,"23,349,780.30","22,869.30","311,581.10","9,435,142.00","1,018,027.00","66,195.40","382,634.00",0,0,23684230.7,10901998.4
2009,NH,33,"2,885,668.40","183,080.90","5,342,356.90","8,816,673.00","1,680,491.90","1,131,115.30","62,477.00",0,0,8411106.2,11690757.2
2009,NJ,34,"5,099,868.40","422,037.70","20,630,221.20","34,327,954.00","-169,633.20","891,425.60","20,918.00","10,707.00",0,26152127.3,35081371.4
2009,NM,35,"29,117,308.20","44,612.80","8,661,072.60",0,"270,963.00","33,664.00","1,546,718.00",0,0,37822993.6,1851345
2009,NV,32,"7,539,936.50","16,183.50","25,877,620.50",0,"2,460,594.80",890.4,0,"174,309.00","1,633,213.00",33433740.5,4269007.2
2009,NY,36,"12,758,872.60","2,648,305.60","41,779,934.00","43,484,614.00","27,134,719.40","2,103,934.90","2,266,338.60",0,0,57187112.2,74989606.9
2009,OH,39,"113,711,996.70","1,311,743.20","4,651,266.60","15,206,084.00","527,746.00","619,296.00","14,114.00",0,0,119675006.5,16367240
2009,OK,40,"34,059,106.90","9,462.90","34,643,483.60",0,"3,435,742.00","232,998.90","2,679,758.00",0,0,68712053.4,6348498.9
2009,OR,41,"3,196,901.50","7,955.30","16,133,451.40",0,"33,033,512.80","799,840.40","3,469,713.60",0,0,19338308.2,37303066.8
2009,PA,42,"105,474,534.40","1,014,568.50","29,215,747.00","77,327,686.00","1,952,354.60","2,254,806.10","1,074,788.10","3,562.00",0,135704849.9,82613196.8
2009,RI,44,0,"17,130.70","7,530,357.80",0,"4,736.00","144,600.00",0,0,0,7547488.5,149336
2009,SC,45,"34,477,512.30","523,484.20","9,780,192.60","52,149,734.00","1,355,562.30","1,746,663.00",0,0,0,44781189.1,55251959.3
2009,SD,46,"3,217,352.70","8,319.50","80,333.80",0,"3,848,114.00","5,774.80","931,839.00",0,0,3306006,4785727.8
2009,TN,47,"41,633,240.30","198,940.10","409,321.40","26,962,001.00","9,562,130.00","898,721.10","51,747.00",0,0,42241501.8,37474599.1
2009,TX,48,"139,921,986.50","4,219,921.10","189,131,488.60","41,497,617.00","1,028,657.30","1,078,373.40","19,952,995.30",0,0,333273396.2,63557643
2009,UT,49,"35,526,126.40","63,989.20","6,444,042.40",0,"835,257.20","47,547.90","86,397.00",0,"279,121.00",42034158,1248323.1
2009,VA,51,"25,599,287.80","1,087,660.30","12,201,383.70","28,212,252.00","143,920.60","2,387,909.50",0,0,0,38888331.8,30744082.1
2009,VT,50,0,"2,438.90","4,430.80","5,360,608.00","1,485,825.30","417,456.30","11,589.00",0,0,6869.7,7275478.6
2009,WA,53,"7,477,772.80","298,491.70","11,971,140.90","6,634,014.00","72,970,811.00","1,467,763.70","3,572,485.60",0,0,19747405.4,84645074.3
2009,WI,55,"37,467,897.20","712,450.50","5,484,140.30","12,683,151.00","1,393,988.40","1,287,413.10","1,051,965.00",0,0,43664488,16416517.5
2009,WV,54,"68,079,899.80","169,317.70","109,435.20",0,"1,645,927.00",-837.3,"742,439.00",0,0,68358652.7,2387528.7
